resolution,position_number,assembly_indicator,component_number,object_short_text,componentmng_kme,base_amount,compensation_unit,supplier_s_name,vi_plant,vi_plant_name,vi_material,material_description,material_composition,total_weight,weight_unit,material_type,final_destination_of_material_at_plant,source_product_scope,source_sheet,source_file
.......7,0011,,6182628,KM-Ltg. hot gas 2 compressor 10-16kW,1.0,ST,ST,,16.0,Vi-Technika Legnica,CW024A R250,Copper alloy,Cu(99.95%) Bi(0.0005%) P(0.007%) Pb(0.005%) Other (0.03%) --- R=Tensile Strength,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
......6,0006,,9049199,"plumb bob 1,5 x 500 - AG 145",0.005,KG,KG,,0.0,Third Party,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
......6,0009,X,7948806,In front of 4-way valve,1.0,ST,ST,,16.0,Vi-Technika Legnica,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0001,,5895328,Sensor tube D=4 Sensor,1.0,ST,ST,,0.0,Third Party,CW024A R220,Copper alloy,Cu(99.6%) P(0.04%),,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0002,,6146305,KM-Ltg. 4-Way-V. - Condenser 2 10-16,1.0,ST,ST,,16.0,Vi-Technika Legnica,CW024A R250,Copper alloy,Cu(99.95%) Bi(0.0005%) P(0.007%) Pb(0.005%) Other (0.03%) --- R=Tensile Strength,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0004,,6148453,KM-Ltg. suction gas 4-way V.-accum. 10-16kW,1.0,ST,ST,,16.0,Vi-Technika Legnica,CW024A R250,Copper alloy,Cu(99.95%) Bi(0.0005%) P(0.007%) Pb(0.005%) Other (0.03%) --- R=Tensile Strength,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0006,,9049199,"Plumb bob 1,5 x 500 - AG 145",0.006,KG,KG,,0.0,Third Party,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0007,,9543244,"Plumb bob 1,5 x 500 - CP 104",0.002,KG,KG,,0.0,Third Party,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0009,,9695249,4-Wege-Umkehrventil DSF(S)-14-2201C,1.0,ST,ST,Zhejiang Dunan International,0.0,Third Party,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.....5,0016,,6158902,Sheet metal bracket Carrier sheet metal,1.0,ST,ST,,0.0,Third Party,1.4301,Stainless Steel,Fe (66.7%) C(0.07%) Si(1%) Mn(2%) P(0.045%) S(0.015%) Cr(19.5%) N(0.11%) Ni (10.5%),,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.....5,0017,X,7934641,Connecting elements refrigerant circuit 4-16 kW,1.0,ST,ST,,16.0,Vi-Technika Legnica,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
......6,0001,,5532740,Insulating sleeve L=12,3.0,ST,ST,,0.0,Third Party,PA6,Thermoplastic - PA6,Polyamide 6,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
......6,0003,,6158540,Felt strip D18,2.0,ST,ST,,0.0,Third Party,Filz,textile fabric,natural and synthetic fibers,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
......6,0003,,6158541,Felt strip D15,4.0,ST,ST,,0.0,Third Party,Filz,textile fabric,natural and synthetic fibers,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
......6,0004,,9028054,Washer 8 - 200HV,5.0,ST,ST,,0.0,Third Party,St,Non alloy quality Steel,Fe(98.77%) C(0.3%) Si(0.3%) Mn(0.5%) P(0.08%) S(0.05%),,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
......6,0005,,9558961,Sealing tape 40x75 s=6 Damping effect,8.0,ST,ST,Henkel,0.0,Third Party,Butyl Kautschuk,Rubber,Isobutene-isoprene rubber,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
......6,0006,,9558961,Sealing tape 40x75 s=6 Damping effect,2.0,ST,ST,Henkel,0.0,Third Party,Butyl Kautschuk,Rubber,Isobutene-isoprene rubber,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
......6,0007,,9558961,Sealing tape 40x75 s=6 Damping effect,2.0,ST,ST,Henkel,0.0,Third Party,Butyl Kautschuk,Rubber,Isobutene-isoprene rubber,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
......6,0009,,9620465,Skt nut M8,8.0,ST,ST,,0.0,Third Party,8,Structural and constructional steels,Fe(97.64%) C(0.18%) Si(0.4%) Mn(1.7%) P(0.04%) S(0.04%),,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
......6,0010,,9638925,"Blind rivet 4,8x10 F FH - A2/A2",2.0,ST,ST,GESIPA,0.0,Third Party,1.4567,Stainless Steel,"Fe(63,29%) Cr(19%) Ni(10,5%) Si(1%) Mn(2%) Cu(4%) Others(0,21%)",,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
......6,0011,,9697288,"self-tapping screw ST4,8 x 13-F Torx",6.0,ST,ST,,0.0,Third Party,St,Non alloy quality Steel,Fe(98.77%) C(0.3%) Si(0.3%) Mn(0.5%) P(0.08%) S(0.05%),,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
......6,0012,,9558961,Sealing tape 40x75 s=6 Damping effect,3.0,ST,ST,Henkel,0.0,Third Party,Butyl Kautschuk,Rubber,Isobutene-isoprene rubber,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.....5,0018,,9049199,"Plumb bob 1,5 x 500 - AG 145",0.003,KG,KG,,0.0,Third Party,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.....5,0021,X,7979016,Pre-plate WT with retaining plate,1.0,ST,ST,,16.0,Vi-Technika Legnica,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
......6,0004,,6148448,KM-Ltg. suction gas accumulator- IWT 10-16kW,1.0,ST,ST,,16.0,Vi-Technika Legnica,CW024A R250,Copper alloy,Cu(99.95%) Bi(0.0005%) P(0.007%) Pb(0.005%) Other (0.03%) --- R=Tensile Strength,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
......6,0007,X,7978098,Retaining plate WT CB65/B110 powdered,1.0,ST,ST,,0.0,Third Party,,Galvanised Steel,Fe(98.335%) C(0.12%) Si(0.5%) Mn(0.6%) P(0.1%) S(0.045%) Ti(0.3%) + polycarbonate,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0002,X,7978097,Pre-assembly retaining plate WT CB65/B110,1.0,ST,ST,,1000.0,Third Party products abroad,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
........8,0001,,6158859,Retaining plate WT,1.0,ST,ST,,0.0,Third Party,DX53D+Z,Galvanised Steel,Fe(98.335%) C(0.12%) Si(0.5%) Mn(0.6%) P(0.1%) S(0.045%) Ti(0.3%) + polycarbonate,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
........8,0002,,9570936,Press-in grub screw M8 x 18,4.0,ST,ST,Kerb Konus,0.0,Third Party,9.8,Medium Carbon Boron Steel,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
......6,0010,,6160052,Support plate Pipe damper,1.0,ST,ST,,0.0,Third Party,1.4301,Stainless Steel,Fe (66.7%) C(0.07%) Si(1%) Mn(2%) P(0.045%) S(0.015%) Cr(19.5%) N(0.11%) Ni (10.5%),,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
......6,0012,X,7932836,Pre-assembly KM filter Evaporator 10-16kW,1.0,ST,ST,,16.0,Vi-Technika Legnica,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0001,,5895328,Sensor tube D=4 Sensor,1.0,ST,ST,,0.0,Third Party,CW024A R220,Copper alloy,Cu(99.6%) P(0.04%),,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0002,,6148447,KM line filter - evaporator 10-16kW,1.0,ST,ST,,16.0,Vi-Technika Legnica,CW024A R250,Copper alloy,Cu(99.95%) Bi(0.0005%) P(0.007%) Pb(0.005%) Other (0.03%) --- R=Tensile Strength,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0003,,6148450,KM-Ltg. IWT - AHX 4-16kW,1.0,ST,ST,,16.0,Vi-Technika Legnica,CW024A R250,Copper alloy,Cu(99.95%) Bi(0.0005%) P(0.007%) Pb(0.005%) Other (0.03%) --- R=Tensile Strength,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0004,,7652177,Filter Ex-Valve EXL - Evaporator,1.0,ST,ST,Zhejiang Dunan International,0.0,Third Party,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0006,,9543244,"plumb bob 1,5 x 500 - CP 104",0.004,KG,KG,,0.0,Third Party,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0008,,9695247,Expansion valve UKV-H37D 3A-2S,1.0,ST,ST,Saginomiya,0.0,Third Party,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
......6,0013,X,7932840,Pre-assembly PHX 10-16kW,1.0,ST,ST,,16.0,Vi-Technika Legnica,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0001,,5895328,Sensor tube D=4 Sensor,1.0,ST,ST,,0.0,Third Party,CW024A R220,Copper alloy,Cu(99.6%) P(0.04%),,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0002,,6156663,KM-Ltg. IWT - PHX 4-16kW,1.0,ST,ST,,16.0,Vi-Technika Legnica,CW024A R250,Copper alloy,Cu(99.95%) Bi(0.0005%) P(0.007%) Pb(0.005%) Other (0.03%) --- R=Tensile Strength,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0003,,7652177,filter Ex-valve EXL - evaporator,1.0,ST,ST,Zhejiang Dunan International,0.0,Third Party,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0005,,9543244,"plumb bob 1,5 x 500 - CP 104",0.003,KG,KG,,0.0,Third Party,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
.......7,0006,,9695245,expansion valve UKV-25D 3D-2S,1.0,ST,ST,Saginomiya,0.0,Third Party,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
......6,0017,X,7934601,Connecting elements,1.0,ST,ST,,16.0,Vi-Technika Legnica,,,,,g,,,vitocal_250_a_outdoor_unit,BOM_ENG,Vitocal 250-A_Outdoor unit_BOM.xlsx
